Distribution Center,Product Offering,Generation,SKU,ASP Group,Week,Forecasted Demand,Customer Orders
GAMMA,H,2,SKU-H-2,9,3,43917,29140
GAMMA,I,2,SKU-I-2,10,3,6576,3025
GAMMA,J,2,SKU-J-2,11,3,1242,1274
GAMMA,K,2,SKU-K-2,11,3,47197,22293
GAMMA,L,2,SKU-L-2,12,3,11975,2548
GAMMA,M,2,SKU-M-2,13,3,9395,9236
GAMMA,N,2,SKU-N-2,14,3,8057,3503
GAMMA,O,2,SKU-O-2,14,3,35032,12580
GAMMA,Q,1,SKU-Q-1,14,3,191,478
GAMMA,Q,2,SKU-Q-2,14,3,14904,8599
GAMMA,S,2,SKU-S-2,15,3,19490,14968
DELTA,A,2,SKU-A-2,1,3,37978,8917
DELTA,B,2,SKU-B-2,1,3,96497,43471
DELTA,C,1,SKU-C-1,3,3,25557,11624
DELTA,C,2,SKU-C-2,4,3,274459,65127
DELTA,E,2,SKU-E-2,7,3,16338,2229
DELTA,F,1,SKU-F-1,6,3,19013,7086
DELTA,F,2,SKU-F-2,7,3,111783,19904
DELTA,G,2,SKU-G-2,10,3,2707,1433
DELTA,H,1,SKU-H-1,9,3,2166,191
DELTA,H,2,SKU-H-2,9,3,170191,28662
DELTA,I,2,SKU-I-2,10,3,31815,8439
DELTA,J,2,SKU-J-2,11,3,8949,318
DELTA,K,1,SKU-K-1,10,3,3854,318
DELTA,K,2,SKU-K-2,11,3,117038,33599
DELTA,L,1,SKU-L-1,12,3,3535,239
DELTA,L,2,SKU-L-2,12,3,42468,16401
DELTA,M,1,SKU-M-1,13,3,1656,971
DELTA,M,2,SKU-M-2,13,3,47261,17834
DELTA,N,2,SKU-N-2,14,3,29283,6369
DELTA,O,1,SKU-O-1,14,3,3280,1911
DELTA,O,2,SKU-O-2,14,3,112213,39968
DELTA,Q,2,SKU-Q-2,14,3,28248,4936
DELTA,S,2,SKU-S-2,15,3,78344,20860
EPSILON,A,2,SKU-A-2,1,3,96815,7166
EPSILON,B,2,SKU-B-2,1,3,380350,53981
EPSILON,C,1,SKU-C-1,3,3,105350,26592
EPSILON,C,2,SKU-C-2,4,3,501035,63376
EPSILON,E,2,SKU-E-2,7,3,54984,28662
EPSILON,F,2,SKU-F-2,7,3,301035,21975
EPSILON,G,2,SKU-G-2,10,3,8217,1752
EPSILON,H,1,SKU-H-1,9,3,20780,2389
EPSILON,H,2,SKU-H-2,9,3,482325,88694
EPSILON,I,2,SKU-I-2,10,3,127627,25159
EPSILON,J,2,SKU-J-2,11,3,3869,955
EPSILON,K,1,SKU-K-1,10,3,43121,1911
EPSILON,K,2,SKU-K-2,11,3,420096,55573
EPSILON,L,2,SKU-L-2,12,3,349682,95064
EPSILON,M,1,SKU-M-1,13,3,3376,478
EPSILON,M,2,SKU-M-2,13,3,151513,25000
EPSILON,N,2,SKU-N-2,14,3,79777,6051
EPSILON,O,1,SKU-O-1,14,3,15159,637
EPSILON,O,2,SKU-O-2,14,3,353025,49841
EPSILON,Q,1,SKU-Q-1,14,3,11943,3662
EPSILON,Q,2,SKU-Q-2,14,3,275239,56529
EPSILON,S,2,SKU-S-2,15,3,343869,62420
ALPHA,A,2,SKU-A-2,1,4,18694,12261
ALPHA,B,2,SKU-B-2,1,4,76242,57484
ALPHA,C,1,SKU-C-1,3,4,9283,3185
ALPHA,C,2,SKU-C-2,4,4,98264,40127
ALPHA,F,1,SKU-F-1,6,4,36943,21178
ALPHA,F,2,SKU-F-2,7,4,18933,19904
ALPHA,G,2,SKU-G-2,10,4,0,159
ALPHA,H,1,SKU-H-1,9,4,1752,1274
ALPHA,H,2,SKU-H-2,9,4,31178,34395
ALPHA,I,2,SKU-I-2,10,4,2548,4459
ALPHA,J,2,SKU-J-2,11,4,796,478
ALPHA,K,1,SKU-K-1,10,4,7325,6369
ALPHA,K,2,SKU-K-2,11,4,22532,24841
ALPHA,L,2,SKU-L-2,12,4,6369,7803
ALPHA,M,2,SKU-M-2,13,4,3822,2707
ALPHA,N,2,SKU-N-2,14,4,2866,955
ALPHA,O,1,SKU-O-1,14,4,5732,3981
ALPHA,O,2,SKU-O-2,14,4,33392,23567
ALPHA,Q,1,SKU-Q-1,14,4,478,1115
ALPHA,Q,2,SKU-Q-2,14,4,14936,10669
ALPHA,S,2,SKU-S-2,15,4,5239,7803
BETA,K,2,SKU-K-2,11,4,2866,159
BETA,S,2,SKU-S-2,15,4,1433,159
GAMMA,A,2,SKU-A-2,1,4,25159,21338
GAMMA,B,2,SKU-B-2,1,4,62994,74841
GAMMA,C,1,SKU-C-1,3,4,5303,478
GAMMA,C,2,SKU-C-2,4,4,110828,79140
GAMMA,E,2,SKU-E-2,7,4,8232,637
